zona;código.x;Freq.x;personas;comuna;promedio_i;año;ingresos_expandidos;Freq.y;p;código.y;multipob;est_ing;ing_medio_zona;identificador
2101071001;02101;2069;361873;Antofagasta;368221,356771735;2017;133249367039,058182;4201;1,16090451622531e-02;02101;1546897919,798059940;1922993643,788761377;457746,6421777580;region_02
2101071002;02101;1217;361873;Antofagasta;368221,356771735;2017;133249367039,058182;2844;7,85911079301302e-03;02101;1047221538,658815384;1083049247,968279123;380819,0042082557;region_02
2101071003;02101;3057;361873;Antofagasta;368221,356771735;2017;133249367039,058182;7624;2,10681647981474e-02;02101;2807319624,027710438;2933500184,216845512;384771,7975100794;region_02
2101071004;02101;1520;361873;Antofagasta;368221,356771735;2017;133249367039,058182;3724;1,02909031621591e-02;02101;1371256332,617942333;1377533934,246325016;369907,0714947167;region_02
2101071005;02101;1365;361873;Antofagasta;368221,356771735;2017;133249367039,058182;3220;8,89814935073907e-03;02101;1185672768,804987907;1226221529,214893818;380814,1395077310;region_02
2101081001;02101;1389;361873;Antofagasta;368221,356771735;2017;133249367039,058182;2981;8,23769665048235e-03;02101;1097667864,536542892;1249562443,263730049;419175,5931780376;region_02
2101081002;02101;2020;361873;Antofagasta;368221,356771735;2017;133249367039,058182;4598;1,27061151287883e-02;02101;1693081798,436439037;1873772807,232319832;407519,0968317355;region_02
2101081003;02101;1737;361873;Antofagasta;368221,356771735;2017;133249367039,058182;3327;9,19383319562388e-03;02101;1225072453,979563713;1591480017,589676857;478352,8757408105;region_02
2101081004;02101;1264;361873;Antofagasta;368221,356771735;2017;133249367039,058182;2616;7,22905549737062e-03;02101;963267069,314859629;1128369563,151015043;431333,9308681250;region_02
2101091001;02101;1191;361873;Antofagasta;368221,356771735;2017;133249367039,058182;2670;7,37827912002277e-03;02101;983151022,580533266;1058039555,584058523;396269,4964734301;region_02
2101091002;02101;1511;361873;Antofagasta;368221,356771735;2017;133249367039,058182;3682;1,01748403445408e-02;02101;1355791035,633529663;1368712169,161049366;371730,6271485739;region_02
2101091003;02101;1379;361873;Antofagasta;368221,356771735;2017;133249367039,058182;3061;8,45876868404109e-03;02101;1127125573,078281879;1239833018,474115372;405041,8224351896;region_02
2101091004;02101;1778;361873;Antofagasta;368221,356771735;2017;133249367039,058182;4034;1,11475572921992e-02;02101;1485404953,217180490;1632158162,786348343;404600,4369822380;region_02
2101091005;02101;1347;361873;Antofagasta;368221,356771735;2017;133249367039,058182;3472;9,59452625644908e-03;02101;1278464550,711464882;1208737837,853345633;348138,7781835673;region_02
2101091006;02101;2259;361873;Antofagasta;368221,356771735;2017;133249367039,058182;4565;1,26149229149453e-02;02101;1680930493,662971973;2114734915,662472248;463249,7077026226;region_02
